gene,comparison,kruskal_H,p_value,mean_A: Concordant High,median_A: Concordant High,mean_B: Ferroptosis-dominant,median_B: Ferroptosis-dominant,mean_C: Hypoxia-dominant,median_C: Hypoxia-dominant,mean_D: Concordant Low,median_D: Concordant Low,mean_NRF2-Low,median_NRF2-Low,mean_NRF2-Mid,median_NRF2-Mid,mean_NRF2-High,median_NRF2-High,fdr_q,significant
CD274,dual_group,1.374217924623019,0.7115891638587096,21.525757547169814,8.16,10.245878723404257,8.2347,10.663680851063829,6.1837,14.38728867924528,8.334299999999999,,,,,,,0.7115891638587096,False
PDCD1,dual_group,14.400344099701677,0.0024078953462013607,115.55259622641509,18.7134,64.96104042553193,18.89,79.60859787234044,24.7763,46.49488113207548,10.8783,,,,,,,0.004334211623162449,True
CTLA4,dual_group,21.039454279109837,0.00010330852965247731,43.0743037735849,18.40345,39.93851063829787,22.0207,42.925640425531924,19.5059,19.269198113207544,8.8354,,,,,,,0.0004648883834361479,True
LAG3,dual_group,1.985441053975478,0.5754339607564254,173.46407358490566,47.772549999999995,177.23043617021276,54.7358,153.5449361702128,57.2172,93.8914962264151,48.91375,,,,,,,0.6473632058509786,False
HAVCR2,dual_group,14.433900369233584,0.0023702692572925934,245.23405566037735,143.317,287.9827617021276,164.208,283.4069744680851,115.365,135.00233396226415,93.84235000000001,,,,,,,0.004334211623162449,True
TIGIT,dual_group,13.427066612619019,0.0037984431756064377,66.65573773584906,22.060850000000002,54.68004680851064,22.1883,64.71257872340425,22.0234,29.508093396226414,13.46795,,,,,,,0.0056976647634096565,True
SIGLEC15,dual_group,19.892695218965105,0.00017865932155343946,14.237744339622642,3.5043499999999996,15.007010638297876,3.8585,30.934791489361704,25.9414,30.16792452830189,8.42985,,,,,,,0.0005359779646603184,True
IDO1,dual_group,4.504116947856346,0.21192335884739566,128.68625094339623,32.76235,100.56118297872345,46.5815,88.53073617021278,41.2162,73.16975471698113,25.1182,,,,,,,0.27247288994665153,False
CD276,dual_group,25.440829266767878,1.2487107820191373e-05,2030.6446603773582,1728.58,1584.0064680851062,1563.13,2283.2237872340424,2174.59,1637.2260943396227,1445.94,,,,,,,0.00011238397038172236,True
CD274,nrf2_tertile,2.382339623230526,0.3038655905744404,,,,,,,,,17.72601862745098,8.2589,13.72586568627451,8.75605,15.504313725490197,7.2048000000000005,0.3038655905744404,False
PDCD1,nrf2_tertile,4.28484821470737,0.11736998045982379,,,,,,,,,76.01984117647059,21.40285,88.6786843137255,14.05265,70.31917647058822,17.423000000000002,0.15090426059120202,False
CTLA4,nrf2_tertile,12.334296759847497,0.002097207921856915,,,,,,,,,30.22990882352942,15.6034,28.669395098039214,10.7259,44.07154215686274,19.628749999999997,0.0062916237655707445,True
LAG3,nrf2_tertile,3.306741205775097,0.19140367435556396,,,,,,,,,144.79157156862743,55.248000000000005,110.5978431372549,49.2453,174.86679019607843,47.00475,0.21532913365000947,False
HAVCR2,nrf2_tertile,5.77706144091394,0.0556579296216171,,,,,,,,,245.42551372549022,105.51650000000001,172.36244705882353,129.178,240.64708725490195,140.714,0.08681223417265967,False
TIGIT,nrf2_tertile,5.788450034400429,0.05534189749852669,,,,,,,,,47.87944509803922,20.5392,42.94813627450979,14.5856,64.12162941176472,21.207,0.08681223417265967,False
SIGLEC15,nrf2_tertile,19.636884430174955,5.44383213735721e-05,,,,,,,,,32.4593774509804,11.9209,19.976726470588236,5.50125,14.880225490196077,2.9444,0.0004899448923621489,True
IDO1,nrf2_tertile,5.6989456573328425,0.057874822781773104,,,,,,,,,106.34915686274513,26.97535,85.2951803921569,29.3801,105.25818039215686,45.50635,0.08681223417265967,False
CD276,nrf2_tertile,14.48445912183604,0.0007157142513762167,,,,,,,,,2168.2339901960786,1867.5149999999999,1689.9705098039215,1509.625,1735.4633627450978,1545.1599999999999,0.0032207141311929753,True
