hmox_variable,target_variable,target_column,spearman_rho,p_value,n,significant
HMOX1 expression,Checkpoint: HAVCR2,HAVCR2,0.5375066094147384,2.6215589287853302e-24,306,***
HMOX1 expression,Immune: ITGAX,ITGAX,0.523661443004072,6.02084083825256e-23,306,***
HMOX2 expression,Altitude risk score,alt_risk_score,-0.506466180213742,2.4298122063549322e-21,306,***
HMOX1 expression,Checkpoint: TIGIT,TIGIT,0.4764105831930548,9.628418987604055e-19,306,***
HMOX1 expression,Immune: HLA-DRA,HLA-DRA,0.47079031324175963,2.764445460893068e-18,306,***
HMOX1 expression,Immune: CD8A,CD8A,0.44841164098933023,1.52784800815266e-16,306,***
HMOX1 expression,Checkpoint: CTLA4,CTLA4,0.44336069069261475,3.630597762002484e-16,306,***
log2(HMOX1/HMOX2) ratio,Immune: ITGAX,ratio_vs_ITGAX,0.4362674423109341,1.1951789949593502e-15,306,***
log2(HMOX1/HMOX2) ratio,Altitude risk score,alt_risk_score,0.4042109693773382,1.8635014294108564e-13,306,***
HMOX1 expression,Immune: IFNG,IFNG,0.39639164616047057,5.896735361840065e-13,306,***
HMOX1 expression,Immune: CD4,CD4,0.39451751010651503,7.73709820421803e-13,306,***
log2(HMOX1/HMOX2) ratio,Immune: CD8A,ratio_vs_CD8A,0.3843933404734237,3.258990551546753e-12,306,***
HMOX1 expression,Immune: NKG7,NKG7,0.37905613892911255,6.819769900603585e-12,306,***
HMOX1 expression,Checkpoint: PDCD1,PDCD1,0.36723250799623536,3.339526040483614e-11,306,***
HMOX2 expression,Ferroptosis vulnerability,ferroptosis_vulnerability,-0.3613511790148857,7.186825899062206e-11,306,***
log2(HMOX1/HMOX2) ratio,Immune: CD4,ratio_vs_CD4,0.3372429657504055,1.4177440755967072e-09,306,***
log2(HMOX1/HMOX2) ratio,Immune: IFNG,ratio_vs_IFNG,0.32541941406761876,5.58851236858969e-09,306,***
HMOX1 expression,Checkpoint: LAG3,LAG3,0.31536912730596595,1.7136925854748192e-08,306,***
HMOX1 expression,Checkpoint: IDO1,IDO1,0.3062280842277639,4.583055899466852e-08,306,***
log2(HMOX1/HMOX2) ratio,Immune: HLA-DRA,ratio_vs_HLA-DRA,0.2996656814057925,9.098769839316872e-08,306,***
HMOX2 expression,KEAP1 expression,KEAP1,0.29511986991624767,1.4487708100391222e-07,306,***
HMOX1 expression,Checkpoint: CD274,CD274,0.2847952553256897,4.045504952946759e-07,306,***
HMOX1 expression,Immune: KLRD1,KLRD1,0.26934752583797333,1.744065888152917e-06,306,***
HMOX1 expression,Immune: CD1C,CD1C,0.26599385760143873,2.3672951002200276e-06,306,***
log2(HMOX1/HMOX2) ratio,Immune: CD1C,ratio_vs_CD1C,0.2657545010120183,2.419102238240287e-06,306,***
log2(HMOX1/HMOX2) ratio,KEAP1 expression,KEAP1,-0.25676861656180605,5.371194944637322e-06,306,***
HMOX1 expression,NRF2 activity score,nrf2_activity,0.25584429318264396,5.820844467919371e-06,306,***
log2(HMOX1/HMOX2) ratio,Immune: NKG7,ratio_vs_NKG7,0.23096085446513737,4.524703626083544e-05,306,***
log2(HMOX1/HMOX2) ratio,Immune: KLRD1,ratio_vs_KLRD1,0.19959858729700308,0.0004436272417761043,306,***
HMOX1 expression,ROS/Ferroptosis risk score,ros_risk_score,0.1861116957062101,0.0010719653301546428,306,**
log2(HMOX1/HMOX2) ratio,ROS/Ferroptosis risk score,ros_risk_score,0.179673261946419,0.001600278408684017,306,**
HMOX1 expression,Immune: NCAM1,NCAM1,0.17083186791762647,0.0027160034142781303,306,**
HMOX1 expression,Altitude risk score,alt_risk_score,0.16686549880271437,0.0034163287117609555,306,**
log2(HMOX1/HMOX2) ratio,Ferroptosis vulnerability,ferroptosis_vulnerability,0.16413357247635532,0.003989841052147045,306,**
HMOX2 expression,NRF2 (NFE2L2) expression,NFE2L2,-0.14746015242750063,0.009792316819106013,306,**
log2(HMOX1/HMOX2) ratio,Immune: NCAM1,ratio_vs_NCAM1,0.14194285501297849,0.012939845408037226,306,*
HMOX2 expression,NRF2 activity score,nrf2_activity,0.1418987160197555,0.012968257916284517,306,*
HMOX1 expression,Checkpoint: CD276,CD276,0.13941221493136158,0.014660159559683226,306,*
log2(HMOX1/HMOX2) ratio,NRF2 activity score,nrf2_activity,0.13875970209731783,0.015135035486807736,306,*
HMOX1 expression,Checkpoint: SIGLEC15,SIGLEC15,-0.13220120447827968,0.02070757141792085,306,*
HMOX1 expression,KEAP1 expression,KEAP1,-0.11085326104596804,0.05272356701885717,306,ns
HMOX1 expression,NRF2 (NFE2L2) expression,NFE2L2,-0.06623486902103183,0.24802327263246496,306,ns
HMOX2 expression,ROS/Ferroptosis risk score,ros_risk_score,-0.04775510246817797,0.40516669458817384,306,ns
log2(HMOX1/HMOX2) ratio,NRF2 (NFE2L2) expression,NFE2L2,0.029284131017708524,0.609858107358232,306,ns
HMOX1 expression,Ferroptosis vulnerability,ferroptosis_vulnerability,-0.012130330852905057,0.8326270726420761,306,ns
